Mutant, System, Mutation Operator, Human-Fail, Branch-Fail, Default-Fail, Human-Error, Branch-Error, Default-Error,result
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1025,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1026,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1027,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1028,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1029,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_103,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1030,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1031,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1032,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1033,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1034,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1035,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1036,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1037,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1038,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1039,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_104,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1040,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1041,commonsCompress,OAN,1,0,0,0,0,0,only-human
